time (ms),lon (deg),lat (deg),x (wgs84),y (wgs84),dist-hav (m),dist-cos (m)
325000,52.27718414,9.37030934,0.912408986914,0.163542749913,0.00247979398188,0.0
326000,52.27718415,9.37030933,0.912408987089,0.163542749739,0.00156207712483,0.0
327000,52.27718414,9.37030936,0.912408986914,0.163542750262,0.0035116284872,0.094935297966
328000,52.27718417,9.37030936,0.912408987438,0.163542750262,0.00329133595596,0.094935297966
329000,52.27718417,9.37030938,0.912408987438,0.163542750612,0.00222389851938,0.0
330000,52.27718417,9.37030936,0.912408987438,0.163542750262,0.00222389851938,0.0
331000,52.27718416,9.37030938,0.912408987263,0.163542750612,0.00247979432673,0.0
332000,52.27718414,9.37030945,0.912408986914,0.163542751833,0.00808701093599,0.0
333000,52.27718414,9.37030947,0.912408986914,0.163542752182,0.00222389851938,0.0
336000,52.27718414,9.37030945,0.912408986914,0.163542751833,0.00222389851938,0.0
338000,52.27718415,9.37030942,0.912408987089,0.16354275131,0.00351162848711,0.0
339000,52.27718415,9.37030946,0.912408987089,0.163542752008,0.00444779703875,0.0
340000,52.27718414,9.37030952,0.912408986914,0.163542753055,0.00676129981493,0.094935297966
341000,52.27718413,9.37030954,0.91240898674,0.163542753404,0.00247979432651,0.094935297966
342000,52.27718514,9.3703108,0.912409004368,0.163542775395,0.178628291927,0.164432759509
343000,52.2771729,9.37032569,0.912408790739,0.163543035275,2.13180781855,2.13551672078
344000,52.27717734,9.37032454,0.912408868232,0.163543015203,0.503622407098,0.50235037812
345000,52.27717546,9.37032716,0.91240883542,0.163543060931,0.356953165505,0.3552153589
346000,52.277174,9.37032969,0.912408809938,0.163543105088,0.323728021138,0.328865519018
347000,52.27717726,9.37032992,0.912408866836,0.163543109102,0.358571756012,0.379741191864
348000,52.27717319,9.37034595,0.912408795801,0.163543388878,1.83753337206,1.83596128477
349000,52.27716907,9.37037854,0.912408723893,0.163543957681,3.65192398404,3.64976527495
350000,52.27717022,9.37037927,0.912408743965,0.163543970422,0.150024244158,0.134258785931
351000,52.27717039,9.37038281,0.912408746932,0.163544032207,0.394071649323,0.402776357794
352000,52.27717198,9.37040025,0.912408774682,0.163544336592,1.94706946655,1.94559464842
353000,52.27717955,9.37037945,0.912408906804,0.163543973564,2.45744762684,2.45733925943
354000,52.27718268,9.37037794,0.912408961433,0.163543947209,0.382246915965,0.391428261113
355000,52.27718544,9.37036952,0.912409009604,0.163543800253,0.984009544386,0.982018358071
356000,52.27718633,9.37037008,0.912409025137,0.163543810026,0.11580844863,0.094935297966
357000,52.27718795,9.37037396,0.912409053411,0.163543877745,0.466611194299,0.465086077192
358000,52.27718815,9.37038034,0.912409056902,0.163543989097,0.70976288402,0.7104307178
359000,52.27718583,9.37038513,0.91240901641,0.163544072698,0.59031644732,0.585220480158
360000,52.27718612,9.37038434,0.912409021472,0.16354405891,0.0934282637519,0.0
