x,y,z
0.164297534885,94.0,0.913392170908
0.164298613499,102.0,0.913392057753
0.164298740617,93.0,0.913392199706
0.164298514306,84.0,0.913392650292
0.164298621644,80.0,0.913392176435
0.164298972164,79.0,0.913392125239
0.164299215347,80.0,0.913392268065
0.164299095501,80.0,0.913392216287
0.164298840683,80.0,0.91339223694
0.164298817702,80.0,0.913392279991
0.164298710946,79.0,0.913392286973
0.164298713564,78.0,0.913392282609
0.164298751962,78.0,0.913392317807
0.164298760688,78.0,0.913392289009
0.164298826429,78.0,0.913392317516
0.164298859299,78.0,0.913392323334
0.164298867735,78.0,0.913392332642
0.164298861336,78.0,0.913392334969
0.16429886279,78.0,0.913392334969
0.164298864826,78.0,0.913392334969
0.164298867153,78.0,0.913392335842
0.164298872389,78.0,0.913392336424
0.164298880825,78.0,0.913392337296
0.164298888388,78.0,0.91339233846
0.164298896824,78.0,0.913392338169
0.164298906714,78.0,0.913392337587
0.164298910787,78.0,0.913392338751
0.164298971873,78.0,0.913392385293
0.164299182476,78.0,0.913392356495
0.164299347992,78.0,0.913392414382
0.164299732837,77.0,0.913392445798
0.164300193313,78.0,0.913392586006
0.164300601429,77.0,0.913392820752
0.164300805341,77.0,0.913393225087
0.164301103211,77.0,0.913393709416
0.164301349302,76.0,0.91339410706
0.164301592194,76.0,0.913394589644
0.164301978494,76.0,0.913395013468
0.164302315051,76.0,0.913395506523
0.164302548053,75.0,0.913395877115
0.164302757492,76.0,0.913396209309
0.164302953842,75.0,0.913396505433
0.164303315998,75.0,0.913396941475
0.164303593214,75.0,0.913397487763
0.164303727314,76.0,0.91339789937
0.16430377531,76.0,0.91339813528
0.164303690662,76.0,0.913398225455
0.164303678735,75.0,0.913398211784
0.164303689789,75.0,0.91339818444
0.164303715678,75.0,0.913398178041
0.16430358856,76.0,0.913398372936
0.164303215641,76.0,0.913398737419
0.164302400572,76.0,0.913399008236
0.1643013877,77.0,0.913399128372
0.164300048159,77.0,0.913399030925
0.164298453801,77.0,0.913398915733
0.164296638659,78.0,0.913398771162
0.164294835152,78.0,0.913398640262
0.16429301041,78.0,0.91339852827
0.16429110422,78.0,0.913398360137
0.164289354818,78.0,0.913398109973
0.16428784569,78.0,0.913397563976
0.164286606215,78.0,0.91339664186
0.164285694863,78.0,0.913395433801
0.164285175336,78.0,0.913394210907
0.164284892302,78.0,0.913393096805
0.164284660173,79.0,0.913392199706
0.164284455097,79.0,0.913391578951
0.164284209878,79.0,0.913391160363
0.164284108649,79.0,0.913390950632
0.16428411563,79.0,0.913390866856
0.164284031855,79.0,0.913390833113
0.164283879138,80.0,0.913390836313
0.164283876811,80.0,0.913390826132
0.164283761329,80.0,0.913390813333
0.164283659227,80.0,0.913390827005
0.164283610649,80.0,0.913390854639
0.164283528909,80.0,0.913390853185
0.164283492839,80.0,0.913390873256
0.164283501856,80.0,0.913390862493
0.164283510292,79.0,0.913390860457
0.16428351291,79.0,0.913390859875
0.16428351931,79.0,0.913390752828
0.164283255183,79.0,0.91339027519
0.164282267036,78.0,0.913389691377
0.164280782052,78.0,0.913389543315
0.164279158314,78.0,0.913389929033
0.164277312337,78.0,0.913390683015
0.164275022756,78.0,0.913391564115
0.16427257755,78.0,0.913392508629
0.164269832438,78.0,0.913393492995
0.164266827562,78.0,0.91339453932
0.164263640882,78.0,0.913395560919
0.164260408823,78.0,0.913396574083
0.164257119169,79.0,0.91339752296
0.164253706759,79.0,0.913398424132
0.164250237626,79.0,0.913399241237
0.164246668719,80.0,0.913400053688
0.164243147226,80.0,0.913400832396
0.164239513741,80.0,0.913401476131
0.164236017265,80.0,0.913402081469
0.164232477447,81.0,0.913402608559
0.164228993188,81.0,0.913403042273
0.164225452496,81.0,0.913403426246
0.164221831229,81.0,0.913403782002
0.164218056082,81.0,0.913404147358
0.164214346966,81.0,0.913404481588
0.164210536622,81.0,0.913404880978
0.164206644828,81.0,0.913405305093
0.164202844374,81.0,0.913405745497
0.164199141658,81.0,0.913406115798
0.164196336041,83.0,0.913406255424
0.164192819494,82.0,0.913406196374
0.164189590925,82.0,0.913406069838
0.164186466204,83.0,0.913405958137
0.16418336999,82.0,0.913405875524
0.164180602771,82.0,0.91340578244
0.164178006012,83.0,0.913405992752
0.164175826386,82.0,0.913406687684
0.164174080766,83.0,0.913407810804
0.164172959392,82.0,0.913409394981
0.164172603345,82.0,0.913411252302
0.164172982372,81.0,0.913413278338
0.164173947248,81.0,0.913415458546
0.164175543934,81.0,0.913417694021
0.164177296244,80.0,0.913419688642
0.164180174583,80.0,0.913421476441
0.164183406642,80.0,0.913423040547
0.164186810325,79.0,0.913424121487
0.164190445555,79.0,0.913424864998
0.164194174742,80.0,0.913425388015
0.164197911492,80.0,0.91342551426
0.164201514433,81.0,0.913425283295
0.164204898917,81.0,0.913424766677
0.164208064072,81.0,0.913423880632
0.16421068032,82.0,0.913422747913
0.164212775588,82.0,0.913421422336
0.164214282389,83.0,0.913419931824
0.164215073023,83.0,0.913418415133
0.164215328714,83.0,0.913416988327
0.164215157963,84.0,0.913415647914
0.164214692832,84.0,0.913414400003
0.164213952231,84.0,0.913413150348
0.164212916378,85.0,0.913411987667
0.164211623089,85.0,0.913410831969
0.164210098835,85.0,0.91340974521
0.164208369214,86.0,0.913408532497
0.164206479895,86.0,0.913407220591
0.164204374155,85.0,0.913405804257
0.164202007779,85.0,0.913404260804
0.164199533193,86.0,0.913402509948
0.164196955633,86.0,0.913400657863
0.16419409242,86.0,0.913398618154
0.164191168412,86.0,0.91339654354
0.164188035255,87.0,0.913394399694
0.164184893663,87.0,0.913392285518
0.16418148998,88.0,0.913390181524
0.16417823814,88.0,0.913388059785
0.164175005209,88.0,0.913385981098
0.164171895614,88.0,0.913383929173
0.164168632721,89.0,0.91338181587
0.164165229911,89.0,0.913379601047
0.164161757869,90.0,0.913377310011
0.164158308226,91.0,0.913374916583
0.164155019734,91.0,0.913372594423
0.164151696918,92.0,0.913370324622
0.164148459333,92.0,0.913368036204
0.164145289815,93.0,0.913365872869
0.164142023431,93.0,0.913363724659
0.164138653782,93.0,0.913361545034
0.164135352783,94.0,0.913359459656
0.164131963935,94.0,0.91335726985
0.164128505856,95.0,0.913354988414
0.164124835719,95.0,0.913352672944
0.164121149002,95.0,0.913350247227
0.164117428251,96.0,0.91334763476
0.164113558856,97.0,0.913344943171
0.164109667936,97.0,0.913342279799
0.164105699057,97.0,0.9133395981
0.164101511721,98.0,0.913336805283
0.164097261553,98.0,0.913333970868
0.164092805146,99.0,0.913331152743
0.164088190205,100.0,0.913328342181
0.164083274776,101.0,0.913325450171
0.164078310187,102.0,0.913322496201
0.164073204226,103.0,0.913319550376
0.164067933913,104.0,0.913316612696
0.164062533283,105.0,0.913313697414
0.164057250462,106.0,0.913310901397
0.164052017383,107.0,0.913308265659
0.164046613844,108.0,0.913305643302
0.164041268773,109.0,0.913302993601
0.164035870761,109.0,0.913300539377
0.164030655717,104.0,0.913298040938
0.164025614042,107.0,0.913295524755
0.164020646253,109.0,0.913293032716
0.164015809655,110.0,0.913290743717
0.164011079813,111.0,0.913288352907
0.164006519559,112.0,0.913285919045
0.164001917125,114.0,0.913283572741
0.163997299566,115.0,0.913281285778
0.163992660481,116.0,0.913278985724
0.163987966709,117.0,0.913276528883
0.163983264792,118.0,0.913274074659
0.163978496261,118.0,0.913271588437
0.163973778927,119.0,0.913269081563
0.163969087191,120.0,0.913266669227
0.163964357058,121.0,0.913264345612
0.163959592018,122.0,0.913261995526
0.163955114085,123.0,0.913259574463
0.163950757452,123.0,0.91325714322
0.1639465483,124.0,0.913254724775
0.163942357183,125.0,0.913252286841
0.163938139595,114.0,0.913249729934
0.163934014509,115.0,0.91324720706
0.163929895823,120.0,0.913244605647
0.163925709069,123.0,0.913241980963
0.163921556931,128.0,0.913239295483
0.163917475187,129.0,0.913236604185
0.163913400716,130.0,0.913233843656
0.163909375405,130.0,0.913231086036
0.163905469649,131.0,0.9132282906
0.1639014743,132.0,0.91322557894
0.163897594142,132.0,0.913222791649
0.163893695076,132.0,0.913220125659
0.163890003123,133.0,0.91321734884
0.163886285863,132.0,0.913214736955
0.163882496462,133.0,0.913211797239
0.16387888014,133.0,0.913208904065
0.16387518266,134.0,0.91320598122
0.163871538121,134.0,0.913203144478
0.16386804339,134.0,0.913200285338
0.163864539351,133.0,0.913197471285
0.163861281694,133.0,0.913194714829
0.163858008911,133.0,0.913191906303
0.163854685222,133.0,0.913189089342
0.163851511341,133.0,0.913186282852
0.163848274337,133.0,0.913183402768
0.163845137689,133.0,0.913180529956
0.163841958863,133.0,0.913177722594
0.163838915009,133.0,0.913174875089
0.163835867664,132.0,0.913172084017
0.163832968672,131.0,0.913169262692
0.163830016738,131.0,0.913166463184
0.163827097675,130.0,0.913163663676
0.163824196938,130.0,0.913160762939
0.163821395103,130.0,0.913157870637
0.16381867937,129.0,0.913154904741
0.163815906333,128.0,0.913152010403
0.163813216199,128.0,0.91314912741
0.163810516175,128.0,0.913146239181
0.163807859202,127.0,0.913143364624
0.163805174885,127.0,0.913140465632
0.16380259238,127.0,0.913137602129
0.16379996915,126.0,0.913134792439
0.163797356683,126.0,0.913131886466
0.163794936493,126.0,0.913129013072
0.163792391221,125.0,0.913126218219
0.163789834023,124.0,0.913123382349
0.163787282643,123.0,0.913120591568
0.163784852272,123.0,0.913117779843
0.163782354705,122.0,0.913114918375
0.163779765509,122.0,0.913112163373
0.163777303432,121.0,0.913109275726
0.163774887314,121.0,0.913106416586
0.163772474978,120.0,0.913103580716
0.163770055661,119.0,0.913100785863
0.163767493227,119.0,0.913097943012
0.163764995661,118.0,0.913095169684
0.163762546673,117.0,0.913092315198
0.163759960677,117.0,0.913089488928
0.163757518379,117.0,0.913086707455
0.163754918711,116.0,0.913083824171
0.163752346678,116.0,0.913081038626
0.163749816823,116.0,0.91307829555
0.1637472189,115.0,0.913075470443
0.163744671883,115.0,0.913072629047
0.163742092868,114.0,0.913069773689
0.163739510945,112.0,0.913066896804
0.163736926985,112.0,0.913064048718
0.163734267685,111.0,0.913061208195
0.163731571733,110.0,0.913058385415
0.163728885089,109.0,0.913055499514
0.163726283094,109.0,0.913052529836
0.163723479223,108.0,0.91304942984
0.163720535143,109.0,0.91304616462
0.163717401986,108.0,0.91304273912
0.163714215015,107.0,0.91303916585
0.16371097423,106.0,0.913035397684
0.163707648214,105.0,0.913031498909
0.163704338197,104.0,0.913027494542
0.163700919388,103.0,0.913023452941
0.16369741593,103.0,0.913019361308
0.163693702451,102.0,0.913015319998
0.163689973846,102.0,0.913011251926
0.163686301964,101.0,0.913007230979
0.16368279298,101.0,0.913003347912
0.163679432349,101.0,0.912999546003
0.163676155493,101.0,0.912995759511
0.163672861475,101.0,0.912992107701
0.163669620107,101.0,0.912988388404
0.163666326671,100.0,0.912984909672
0.163663033817,100.0,0.912981423086
0.163659716237,100.0,0.91297782189
0.163656359096,100.0,0.912974371956
0.1636532623,99.0,0.912970903405
0.163650198374,99.0,0.912967454925
0.163647126304,99.0,0.912963995973
0.163644004783,99.0,0.91296056611
0.163641136625,99.0,0.912957139447
0.163637987469,99.0,0.912953662751
0.163634820278,99.0,0.91295021689
0.163631824712,98.0,0.912946793135
0.16362875555,98.0,0.912943362982
0.163625634029,97.0,0.912940054419
0.163622628572,97.0,0.912936692042
0.163619553011,96.0,0.91293321651
0.163616449524,95.0,0.912929838425
0.163613352729,94.0,0.912926325078
0.163610305384,94.0,0.912922894633
0.163607230695,94.0,0.912919512185
0.163604231929,94.0,0.91291618006
0.163601386751,94.0,0.912912828156
0.163598439472,94.0,0.912909505049
0.163595538153,93.0,0.912906215976
0.163592675813,93.0,0.912902888505
