x,y,z,data
0.912409054459,140.0,0.163541431143,0.0
0.912408816745,139.0,0.163541224845,0.179104112043
0.912408774508,139.0,0.163541248407,0.0274499777863
0.912408477976,139.0,0.16354134056,0.175884291231
0.912408696317,138.0,0.163541642502,0.21267891291
0.912408596484,138.0,0.163541619638,0.057980904731
0.912408550757,138.0,0.163541622082,0.0259078206314
0.912408542554,138.0,0.163541608817,0.00890977343437
0.91240857013,138.0,0.163541615798,0.0161063157782
0.912408557389,138.0,0.16354161318,0.00736268068867
0.912408568559,138.0,0.163541616497,0.00659923105901
0.91240856437,138.0,0.163541615275,0.0024711363197
0.912408564196,138.0,0.163541614053,0.000707452577723
0.912408561752,138.0,0.163541612831,0.00154973003502
0.91240857362,138.0,0.163541606548,0.00761982647627
0.912408575889,138.0,0.163541595029,0.00672855311084
0.912408578507,138.0,0.163541581415,0.00794515480965
0.912408586536,138.0,0.163541586302,0.0053368536873
0.912408615334,138.0,0.16354157234,0.0181529535415
0.912408673628,138.0,0.16354156117,0.0335953762583
0.912408623886,138.0,0.163541536037,0.0316162146936
0.912408654953,138.0,0.163541519107,0.0200783129251
0.912408704869,139.0,0.163541480186,0.0359933278446
0.912409071214,139.0,0.163541166376,0.27446616504
0.912408795277,138.0,0.163541481059,0.238593586552
0.912408870675,139.0,0.163541283139,0.12123728632
0.912408842401,139.0,0.163541233397,0.0327008360174
0.912408885685,139.0,0.16354122851,0.024647350952
0.912408879926,139.0,0.163541199363,0.0170272793078
0.912408927573,139.0,0.163541107733,0.0590511527902
0.912408932286,139.0,0.163541113667,0.00432260497768
0.912408899299,139.0,0.163541076143,0.0284818103636
0.912408899997,139.0,0.163540897072,0.10267815489
0.912408935951,139.0,0.163540972121,0.0475975328539
0.912408969636,140.0,0.163540920285,0.0353070047787
0.912409003495,140.0,0.163540934422,0.0208001303083
0.912408991103,140.0,0.163540961998,0.0172963742633
0.912409005764,140.0,0.163540939309,0.0154288147424
0.912409008033,140.0,0.163540942974,0.00246258812726
0.912409014491,140.0,0.163540944719,0.00378797144237
0.912409016236,140.0,0.163540952224,0.00441507273195
0.912409021821,139.0,0.163540958507,0.00479198940349
0.912409017109,139.0,0.163540919063,0.0227736323679
0.912409017458,139.0,0.163540919412,0.000281174010264
0.912409021123,139.0,0.163540931804,0.00740173359889
0.912409019377,139.0,0.163540920983,0.00628275232
0.912409020599,139.0,0.163540919063,0.00129982966857
0.912409044161,139.0,0.163540914176,0.0136212521989
0.912409017283,139.0,0.163540883982,0.023042645316
0.912409017807,139.0,0.163540885029,0.000669544508571
0.912409018156,139.0,0.163540889916,0.00280906229344
0.912409019203,139.0,0.163540892709,0.00170729307875
0.912409020599,140.0,0.163540896374,0.00224513494869
0.912409021472,140.0,0.163540900039,0.00215879507775
0.912409023915,140.0,0.163540902482,0.00196821797618
0.912409026708,140.0,0.163540904228,0.00187013633191
0.912409027231,140.0,0.163540904228,0.000296220396431
0.91240902793,140.0,0.163540905798,0.000983471535538
0.912409027581,140.0,0.163540902482,0.00191166075238
0.912409025137,140.0,0.163540900563,0.00176713046882
0.912409021646,140.0,0.16354089777,0.0025423824606
0.912409022519,140.0,0.163540894977,0.00167559065565
0.912409022694,140.0,0.163540894803,0.000140586999084
